VOC,Temperature,Humidity,VQI,label,status
0.0301,26.3,67,85.27465637417758,1,Moderate
0.0285,26.3,67,85.66225327340238,1,Moderate
0.0285,26.3,67,85.66225327340238,1,Moderate
0.0285,26.3,67,85.66225327340238,1,Moderate
0.0285,26.5,67,86.83872386163767,1,Moderate
0.0285,30.1,65,70.1160347860074,0,Not Fresh
0.0285,30.3,65,68.93956419777211,0,Not Fresh
0.0285,30.3,64,68.2252784834864,0,Not Fresh
0.0285,30.3,65,68.93956419777211,0,Not Fresh
0.0285,30.3,66,69.65384991205784,0,Not Fresh
0.0285,30.5,65,67.76309360953682,0,Not Fresh
0.0285,30.3,65,68.93956419777211,0,Not Fresh
0.0285,30.3,64,68.2252784834864,0,Not Fresh
0.0226,30.5,63,67.76378574685687,0,Not Fresh
0.0354,30.4,64,65.9655315614618,0,Not Fresh
0.0392,30.4,64,65.04498892580287,0,Not Fresh
0.0354,30.3,64,66.55376685557943,0,Not Fresh
0.0354,30.3,64,66.55376685557943,0,Not Fresh
0.0354,30.3,64,66.55376685557943,0,Not Fresh
0.024,30.3,64,69.31539476255617,0,Not Fresh
0.024,30.3,64,69.31539476255617,0,Not Fresh
0.024,30.3,64,69.31539476255617,0,Not Fresh
0.024,30.3,64,69.31539476255617,0,Not Fresh
0.024,30.4,64,68.72715946843854,0,Not Fresh
0.024,30.4,64,68.72715946843854,0,Not Fresh
0.024,30.4,64,68.72715946843854,0,Not Fresh
0.024,30.4,64,68.72715946843854,0,Not Fresh
0.0269,30.3,64,68.61287538271121,0,Not Fresh
0.0226,30.3,64,69.65454204937788,0,Not Fresh
0.0226,30.3,63,68.94025633509216,0,Not Fresh
0.0226,30.3,64,69.65454204937788,0,Not Fresh
0.0226,30.6,63,67.17555045273922,0,Not Fresh
0.0226,30.8,62,65.28479415021822,0,Not Fresh
0.0226,30.8,62,65.28479415021822,0,Not Fresh
0.0226,30.9,61,63.98227314181486,0,Not Fresh
0.024,30.9,61,63.64312585499315,0,Not Fresh
0.0226,30.8,63,65.99907986450393,0,Not Fresh
0.024,31.2,62,62.59270568692592,0,Not Fresh
0.024,31.2,61,61.87841997264021,0,Not Fresh
0.024,30.8,61,64.23136114911078,0,Not Fresh
0.0269,30.4,62,66.59606866002214,0,Not Fresh
0.0318,30.1,63,67.88804475278482,0,Not Fresh
0.0318,29.8,63,69.65275063513778,0,Not Fresh
0.0318,29.6,64,71.54350693765878,0,Not Fresh
0.0318,29.5,64,72.13174223177643,0,Not Fresh
0.0301,29.4,65,73.84608494560615,0,Not Fresh
0.0301,29.3,65,74.43432023972379,0,Not Fresh
0.0301,29.2,65,75.02255553384144,0,Not Fresh
0.0335,29.1,66,75.50143313139208,0,Not Fresh
0.0301,29.0,66,76.91331183636245,0,Not Fresh
0.0335,29.0,66,76.08966842550973,0,Not Fresh
0.0318,28.9,65,76.37543971076803,0,Not Fresh
0.0301,28.9,65,76.78726141619438,0,Not Fresh
0.0285,28.9,66,77.88914402970491,0,Not Fresh
0.0285,28.8,66,78.47737932382255,1,Moderate
0.0335,28.8,66,77.26613901374502,0,Not Fresh
0.0335,28.7,66,77.85437430786268,0,Not Fresh
0.0269,28.7,66,79.453211517165,1,Moderate
0.0269,28.6,66,80.04144681128264,1,Moderate
0.0269,28.8,69,81.00783336590449,1,Moderate
0.0269,28.8,66,78.86497622304735,1,Moderate
0.0269,29.0,66,77.68850563481206,0,Not Fresh
0.0269,29.0,69,79.8313627776692,1,Moderate
0.0269,29.0,69,79.8313627776692,1,Moderate
0.0269,29.0,69,79.8313627776692,1,Moderate
0.0269,29.0,66,77.68850563481206,0,Not Fresh
0.0269,29.0,69,79.8313627776692,1,Moderate
0.0286,28.9,68,79.29349065207478,1,Moderate
